City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
508,San Vicente,AR,76.77,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
510,Diego De Almagro,CL,78.28,clear sky,-26.3667,-70.05,hotel luna del desierto
512,Baihar,IN,78.24,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
516,Aloleng,PH,78.73,broken clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
517,Hualmay,PE,73.51,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
518,Teacapan,MX,76.03,clear sky,22.55,-105.75,Hotel los Mangos
519,Tingo Maria,PE,85.01,scattered clouds,-9.2895,-76.0088,Hospedaje Paraíso
521,Lazaro Cardenas,MX,80.58,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
523,Kutum,SD,79.27,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
525,Pemangkat,ID,77.52,overcast clouds,1.1667,108.9667,Ramah Kost KITA
529,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
530,Teknaf,BD,76.33,few clouds,20.8624,92.3058,Forestry Guesthouse
531,Pimenta Bueno,BR,84.99,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
534,Tual,ID,81.7,broken clouds,-5.6667,132.75,Grand Vilia Hotel
535,Salinas,US,75.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
536,Touros,BR,79.02,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
541,South Venice,US,77.27,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
543,Jiwani,PK,78.22,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
548,Nuevo Progreso,MX,86.54,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
550,Canchungo,GW,80.73,few clouds,12.0672,-16.0333,Aparthotel Napalach
553,Sagaing,MM,80.55,overcast clouds,21.8787,95.9797,Makara Cruise
558,Pontalina,BR,84.47,few clouds,-17.525,-49.4472,Hotel Entre Rios
569,Namibe,AO,70.88,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
573,Mitsamiouli,KM,81.7,few clouds,-11.3847,43.2844,Foyer ADM
578,Roebourne,AU,80.69,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
579,Bo Phloi,TH,75.31,overcast clouds,14.3236,99.5161,แอท เมืองพลอย รีสอร์ท At MuangPloy Resort
581,Innisfail,AU,74.35,scattered clouds,-17.5333,146.0333,Moondarra Motel
583,Harper,LR,80.31,overcast clouds,4.375,-7.7169,Screensaver
584,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
585,Ambon,ID,80.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
589,Itamaraca,BR,84.25,broken clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
593,Rockport,US,82.44,few clouds,28.0206,-97.0544,"Holiday Inn Express & Suites Rockport - Bay View, an IHG Hotel"
597,Binga,ZW,74.73,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
598,Jalingo,NG,87.93,overcast clouds,8.8833,11.3667,Debright Motel
600,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
601,Katherine,AU,75.52,scattered clouds,-14.4667,132.2667,Pine Tree Motel
602,Bata,GQ,80.51,scattered clouds,1.8639,9.7658,Hotel Elik Melen
604,Pathein,MM,77.72,overcast clouds,16.7833,94.7333,Pathein Hotel
609,Vilhena,BR,88.02,broken clouds,-12.7406,-60.1458,Hotel Mirage
612,San Isidro,PE,75.51,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
616,Belmonte,BR,80.98,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
618,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
619,Vavatenina,MG,70.57,scattered clouds,-17.4667,49.2,FARA Jean E. et TOMBO Berthine
620,Macas,EC,83.95,few clouds,-2.3167,-78.1167,Casa Upano
624,Canutama,BR,86.86,broken clouds,-6.5339,-64.3831,Hotel Jhennifer
626,Daru,PG,78.01,scattered clouds,-9.0763,143.2092,Daru Lodge
629,Bacolod,PH,78.15,overcast clouds,10.6667,122.95,Planta Hotel & Residences
630,Sakakah,SA,78.37,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
632,Quelimane,MZ,80.55,clear sky,-17.8786,36.8883,Hotel Flamingo
635,Nyaunglebin,MM,77.27,broken clouds,17.95,96.7333,Thi ha
636,Tambun,ID,84.47,overcast clouds,-6.2641,107.0712,Metland Hotel Bekasi
638,Vargem Alta,BR,70.61,broken clouds,-20.6714,-41.0069,Pousada Mont Serrat
646,Gualaceo,EC,74.86,light rain,-2.9,-78.7833,Arhaná Hosteria Resort
647,Quezon,PH,70.81,overcast clouds,7.7303,125.0989,LIBRE INN
649,Tamale,GH,82.62,light rain,9.4008,-0.8393,Tap Hotel
651,Khanpur,PK,78.76,few clouds,28.6453,70.6567,Ahmad Bartan store
654,Robertsport,LR,79.43,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
660,Dubai,AE,78.73,clear sky,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
662,Vanimo,PG,77.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
665,Mapiripan,CO,84.47,overcast clouds,2.8892,-72.1256,Monserrate
666,Chiredzi,ZW,76.21,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
670,Tigre,AR,73.54,overcast clouds,-34.426,-58.5796,Puerto Delta Apartamentos
676,Antalaha,MG,76.01,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
680,Alta Floresta,BR,80.42,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
682,Fomboni,KM,82.89,clear sky,-12.28,43.7425,Auberge les abou
683,Paita,PE,77.67,scattered clouds,-5.0892,-81.1144,Hotel Náutico de Paita
685,Dawei,MM,72.09,overcast clouds,14.0833,98.2,Hotel Dawei
688,Sao Gabriel Da Cachoeira,BR,82.11,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
689,Pak Phanang,TH,80.08,moderate rain,8.3511,100.202,Green Park Inn Hotel
698,Bowen,AU,77.97,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
700,Bilma,NE,87.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
701,Lakatoro,VU,77.0,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
706,Najran,SA,72.25,clear sky,17.4924,44.1277,محمد هادي ال فطيح
