City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,74,40,12.66,scattered clouds
150,Tulun,RU,54.5611,100.5792,22.05,97,100,3.38,light snow
151,Port Elizabeth,ZA,-33.918,25.5701,64.09,95,0,8.05,clear sky
152,Ancud,CL,-41.8697,-73.8203,50.23,67,81,8.99,broken clouds
153,Palmer,US,42.1584,-72.3287,52.41,60,100,11.5,overcast clouds
154,Kysyl-Syr,RU,63.8986,122.7617,15.44,97,100,4.14,light snow
155,Chokurdakh,RU,70.6333,147.9167,-21.78,100,81,2.57,broken clouds
156,Asfi,MA,32.2994,-9.2372,60.06,76,37,10.4,scattered clouds
157,Lompoc,US,34.6391,-120.4579,63.84,78,100,7.0,overcast clouds
158,Chekhov,RU,55.1431,37.4711,31.89,92,100,6.04,overcast clouds
159,Coquimbo,CL,-29.9533,-71.3436,62.33,72,0,12.66,clear sky
160,Jacareacanga,BR,-6.2222,-57.7528,76.66,96,100,2.59,overcast clouds
161,Usinsk,RU,65.9939,57.5281,19.71,85,100,12.08,overcast clouds
162,Makakilo City,US,21.3469,-158.0858,77.32,54,20,18.41,few clouds
163,Padang,ID,-0.9492,100.3543,75.87,86,31,4.38,scattered clouds
164,Mount Isa,AU,-20.7333,139.5,74.97,25,100,4.61,light rain
165,Zyryanka,RU,65.75,150.85,-21.71,100,67,1.86,broken clouds
166,Tignere,CM,7.3667,12.65,80.8,26,100,3.51,overcast clouds
167,Alcacer Do Sal,PT,38.3733,-8.5144,48.49,45,67,7.58,broken clouds
168,Berdigestyakh,RU,62.0989,126.6992,19.8,96,100,6.53,light snow
169,Oranjemund,NA,-28.55,16.4333,59.9,93,0,3.47,clear sky
170,Eloy,US,32.7559,-111.5548,84.4,15,2,5.66,clear sky
171,Swan Hill,AU,-35.3378,143.5544,54.99,86,0,1.83,clear sky
172,Huarmey,PE,-10.0681,-78.1522,74.97,73,18,11.99,few clouds
173,Hede,CN,33.7681,120.2517,40.95,67,1,6.02,light rain
174,Puerto Berrio,CO,6.4916,-74.4033,94.03,47,39,1.39,scattered clouds
175,Bengkulu,ID,-3.8004,102.2655,76.93,82,100,4.61,overcast clouds
176,Meulaboh,ID,4.1363,96.1285,74.25,84,100,3.09,overcast clouds
177,Chapais,CA,49.7834,-74.8492,38.98,85,100,5.99,overcast clouds
178,High Level,CA,58.5169,-117.136,28.51,64,75,11.5,broken clouds
179,Sola,VU,-13.8833,167.55,79.29,72,100,9.6,overcast clouds
180,Fare,PF,-16.7,-151.0167,81.75,75,57,11.07,broken clouds
181,Baiyin,CN,36.5583,104.2081,45.95,48,66,3.31,broken clouds
182,Rayong,TH,12.8333,101.4333,74.77,76,99,8.88,overcast clouds
183,Khatanga,RU,71.9667,102.5,-29.15,100,99,4.09,overcast clouds
184,Ahuimanu,US,21.4447,-157.8378,78.51,61,40,18.41,scattered clouds
